name,value,url,rating,reviews
"Bosch 13 Place Settings, Free Standing Dishwasher (SMS66GI01I, Silver Inox), extra dry and hygienic wash",45100.0,https://www.amazon.in/Bosch-Settings-Dishwasher-SMS66GI01I-Silver/dp/B07JW58P2C/ref=sr_1_2?dib=eyJ2IjoiMSJ9.qeNu5t1RwtWnCvr3y2GHTA6u9DruvLVMRXzqIqsC6UrMG4S7ZH1iB6TE9nSTnK5k6eYR3juBJmw9bsUWhc23QKL5qHE-BJNOwOQbyg0MJLK6XY3uDNoXmpJEjFDIdj5RiEKo1ad-xN5SpW2eYSi8eLIClaaBbrF7Q8ViEG5RQS3sT2uj9tzh5nolfFzRDkelD4APuDEWX-3MZRUsF53c3juH2J5hfcCeXVq3FKL_82Y.uslXPS-eIUIt07dslTCdINwEDkjApICwfEqlzoRWgKo&dib_tag=se&keywords=Dishwasher+energy+efficient&qid=1744047759&sr=8-2,4.3,
"wipro Garnet 20W LED Batten for Living Room & Bedroom | Bright & Energy Efficient Tubelight for Home | Cool Day Light (6500K) with 2000 lumen|4Feet, Pack of 1",159.0,https://www.amazon.in/wipro-Garnet-Tubelight-White-D532065/dp/B08CG67HZV/ref=sr_1_1?dib=eyJ2IjoiMSJ9.sjonDFyzuW7l72cbGgQKfFIi5RzHl8D2GtwVJxi6LoNRTWIh7bXDthW-IMcTmiQEveiDqDqpOtvEm6-mmPzGiHFeNAqjKq7Oh1HKBbWVA2K5kCuFiYzCC3NBm29AKIpc_-VPXLGKhawFZhlS8dm9jdeAm2_Yt8r1vlf-TJ8_U9Vv8cACWtVvSYIWAuQMqgcTbnIPWqjhKXizkmFXJhB73mxMFy1Y0zqNVMFY_K4uWhRVnj0-aUySbRM9FnRKMk2mSb4h5kyE-u8-joctwhk9V0NS6qh3kjXEh_u2NhM_zRQ.cItwW4NoDw6-htIhGZ5DyVw3qRn9LtTKq3_kMtFrcl4&dib_tag=se&keywords=Lights+energy+efficient&qid=1744047761&sr=8-1,4.1,
"One94Store Smart Night Sensor Light Bulb Comes with Automatic ON/Off Dim LED | Energy-Efficient Night Sensor Light Bulb |Daily use for Home Stairs, Kitchen, Bathroom, Walldrobe (Warm White)-Pack of 1",199.0,https://www.amazon.in/One94Store-Bulb-Automatic-Energy-Efficient-Walldrobe/dp/B0D326MFH4/ref=sr_1_2?dib=eyJ2IjoiMSJ9.sjonDFyzuW7l72cbGgQKfFIi5RzHl8D2GtwVJxi6LoNRTWIh7bXDthW-IMcTmiQEveiDqDqpOtvEm6-mmPzGiHFeNAqjKq7Oh1HKBbWVA2K5kCuFiYzCC3NBm29AKIpc_-VPXLGKhawFZhlS8dm9jdeAm2_Yt8r1vlf-TJ8_U9Vv8cACWtVvSYIWAuQMqgcTbnIPWqjhKXizkmFXJhB73mxMFy1Y0zqNVMFY_K4uWhRVnj0-aUySbRM9FnRKMk2mSb4h5kyE-u8-joctwhk9V0NS6qh3kjXEh_u2NhM_zRQ.cItwW4NoDw6-htIhGZ5DyVw3qRn9LtTKq3_kMtFrcl4&dib_tag=se&keywords=Lights+energy+efficient&qid=1744047761&sr=8-2,3.7,
wipro Garnet 10W LED Bulb for Home & Office |Cool Day White (6500K) | B22 Base|220 degree Light coverage |4Kv Surge Protection |400V High Voltage Protection |Energy Efficient | Pack of 1,64.0,https://www.amazon.in/wipro-coverage-Protection-Voltage-Efficient/dp/B0BR3VKC3F/ref=sr_1_3?dib=eyJ2IjoiMSJ9.sjonDFyzuW7l72cbGgQKfFIi5RzHl8D2GtwVJxi6LoNRTWIh7bXDthW-IMcTmiQEveiDqDqpOtvEm6-mmPzGiHFeNAqjKq7Oh1HKBbWVA2K5kCuFiYzCC3NBm29AKIpc_-VPXLGKhawFZhlS8dm9jdeAm2_Yt8r1vlf-TJ8_U9Vv8cACWtVvSYIWAuQMqgcTbnIPWqjhKXizkmFXJhB73mxMFy1Y0zqNVMFY_K4uWhRVnj0-aUySbRM9FnRKMk2mSb4h5kyE-u8-joctwhk9V0NS6qh3kjXEh_u2NhM_zRQ.cItwW4NoDw6-htIhGZ5DyVw3qRn9LtTKq3_kMtFrcl4&dib_tag=se&keywords=Lights+energy+efficient&qid=1744047761&sr=8-3,4.1,
"Pigeon Brewster Coffee Maker, 600 Watt, 4 Cups Drip Coffee maker (Black)",1099.0,https://www.amazon.in/Pigeon-Stovekraft-Coffee-Maker-Brewster/dp/B07WJ4NG21/ref=sr_1_1?dib=eyJ2IjoiMSJ9.yfKikC97x2Z4dvmzwNbnlmAEqWaCy1dDdFt59rk_aq1D0oZYYeZWOusDDOMebysZPnzdhKTr13LsgcqOsKH3rYsOBwH94_DlTpua5PddeZHweMoo_r4wUgG8DN1TBQmqhQ5j_hkeLIfmciQF9iMTI-TDvNSRZojdJXwEd2Pg90rBY6c17L4MAB7G-HfLEXHjbQF6I5XsVjVdiALSko9z9YRAfzjLfprFR8G0VjEm1NE.3EuG9zHMEFo2gO1T2CwkJPVC1VpqPywGWgbERRvn0tE&dib_tag=se&keywords=Coffee+Machine+energy+efficient&qid=1744047765&sr=8-1,3.6,
"AGARO Classic Moka Pot, Stovetop, Espresso Coffee Maker, 240 Ml, Premium Aluminium Built, Italian Style Mocha, Cuban Café Brewing, Black",799.0,https://www.amazon.in/AGARO-Classic-Stovetop-Espresso-Aluminium/dp/B0BGZXCR4B/ref=sr_1_2?dib=eyJ2IjoiMSJ9.yfKikC97x2Z4dvmzwNbnlmAEqWaCy1dDdFt59rk_aq1D0oZYYeZWOusDDOMebysZPnzdhKTr13LsgcqOsKH3rYsOBwH94_DlTpua5PddeZHweMoo_r4wUgG8DN1TBQmqhQ5j_hkeLIfmciQF9iMTI-TDvNSRZojdJXwEd2Pg90rBY6c17L4MAB7G-HfLEXHjbQF6I5XsVjVdiALSko9z9YRAfzjLfprFR8G0VjEm1NE.3EuG9zHMEFo2gO1T2CwkJPVC1VpqPywGWgbERRvn0tE&dib_tag=se&keywords=Coffee+Machine+energy+efficient&qid=1744047765&sr=8-2,3.9,
"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)",499.0,https://www.amazon.in/Pigeon-Electric-Stainless-Shut-off-Feature/dp/B07WMS7TWB/ref=sr_1_1?dib=eyJ2IjoiMSJ9.zmCFpDqdK2-iTBmjnyXOyCY07kUW4k_ffT9w19mgaGmEW_ppzBpJ2S5EGgGMtUysxIB2eRCyenidRFlEP0BoKhto8ZBBmX0bsa625rKb9VnWGcsblJ6tMyDhqpIbJw9fU_VYqebqLbp9_S6AD7p43Xha62PT2huBa3OysravF5sY7HIR0srbSi0pr8VK7Hhnw6hzcrhi9Wdc22P9jhLBYMVkws0BTrANpeBFusbqoGk.neoDTzzhtjZgx9180Qu-b8TiM_xPFMh1McgNYf5Hr6w&dib_tag=se&keywords=Electric+Kettle+energy+efficient&qid=1744047768&sr=8-1,3.9,
"MILTON Stainless Steel Euroline Electric Travel Kettle With Handle, 1000 Watt, 500 Ml | 2 Utility Cups | Auto Shut-Off | Concealed Heating Element | Power Indicator |1Year Warranty, Silver",1193.0,https://www.amazon.in/MILTON-Stainless-Euroline-Electric-Utility/dp/B0CK5JZ1TG/ref=sr_1_2?dib=eyJ2IjoiMSJ9.zmCFpDqdK2-iTBmjnyXOyCY07kUW4k_ffT9w19mgaGmEW_ppzBpJ2S5EGgGMtUysxIB2eRCyenidRFlEP0BoKhto8ZBBmX0bsa625rKb9VnWGcsblJ6tMyDhqpIbJw9fU_VYqebqLbp9_S6AD7p43Xha62PT2huBa3OysravF5sY7HIR0srbSi0pr8VK7Hhnw6hzcrhi9Wdc22P9jhLBYMVkws0BTrANpeBFusbqoGk.neoDTzzhtjZgx9180Qu-b8TiM_xPFMh1McgNYf5Hr6w&dib_tag=se&keywords=Electric+Kettle+energy+efficient&qid=1744047768&sr=8-2,4.0,
"IFB 24L Solo Microwave Oven (24PM2S, Multi Stage Cooking with 69 Indian & Continental Auto Cook Menus, Child-lock Protection, Deodorize function, Delay Start & Power Save, black)",6890.0,https://www.amazon.in/IFB-Microwave-24PM2S-Continental-Recipes/dp/B0CGN8FMJ8/ref=sr_1_1?dib=eyJ2IjoiMSJ9.qNT2ARaxmRMZw7QQqZrjP_J6aBJ087p2l4rUaqraQTOyo4efwmXJqyW_vRpbwD54U168-hZLTNM5ZLXMdlOBbyGAC_J-GyQiu0b_2ZhIbtgvjqKbpsUkRhDxZRqP9xFVvpW3tPGZ6jXkF_Tule-lgwgZlBe4hHyoUGYHoxgpf0nQaa6PrFvtoycPTDnb2HWKKLekhA3jQXbh0cd0PHEsQhXkVO833eznjHmHrE3pK64.KQkKtVv9cFvtgdIIBvYkLwFfS7c2uVjKn5iH1YGThwY&dib_tag=se&keywords=Microwave+energy+efficient&qid=1744047771&sr=8-1,4.2,
"Panasonic 25L Solo Microwave Oven (NN-ST310QBFG, Black, 85 Auto Cook Menus)",7200.0,https://www.amazon.in/Panasonic-Microwave-NN-ST310QBFG-Black-Menus/dp/B0D7MFQLJR/ref=sr_1_2?dib=eyJ2IjoiMSJ9.qNT2ARaxmRMZw7QQqZrjP_J6aBJ087p2l4rUaqraQTOyo4efwmXJqyW_vRpbwD54U168-hZLTNM5ZLXMdlOBbyGAC_J-GyQiu0b_2ZhIbtgvjqKbpsUkRhDxZRqP9xFVvpW3tPGZ6jXkF_Tule-lgwgZlBe4hHyoUGYHoxgpf0nQaa6PrFvtoycPTDnb2HWKKLekhA3jQXbh0cd0PHEsQhXkVO833eznjHmHrE3pK64.KQkKtVv9cFvtgdIIBvYkLwFfS7c2uVjKn5iH1YGThwY&dib_tag=se&keywords=Microwave+energy+efficient&qid=1744047771&sr=8-2,4.3,
